,id,rawmtrs,disliked_id
0,0,분유,0
1,1, 우유,0
2,2, 유청,0
3,3, 밀크,0
4,4, 밀키,0
5,5, 밀크레진,0
6,6, 낙우밀,0
7,7, 치즈,0
8,8,소맥분,2
9,9, 소맥,2
10,10, 밀가루,2
11,11, 부침가루,2
12,12, 빵가루,2
13,13, 글루텐,2
14,14, 밀식이섬유,2
15,15, 배터용분말,2
16,16, 치킨용배터믹스,2
17,17, 지미베이스,2
18,18, 가라아게배터,2
19,19, 통밀,2
20,20, 찐밀쌀가루,2
21,21, 호밀,2
22,22, 밀베이커스믹스,2
23,23,  중력분,2
24,24, 조미새우분말,2
25,25, 그릴시즈닝-22,2
26,26, (밀),2
27,27, 소밀,2
28,28,  밀분해액,2
29,29, 전분,2
30,30, 보리,2
31,31, 찰보리,2
32,32, 귀리,2
33,33,메밀,12
34,34,고등어,9
35,35, 다시육수농축액,9
36,36, 가쓰오조미액,9
37,37, 다이미엔엠,9
38,38, 육수맛내기베이스,9
39,39,굴,10
40,40, 조개,10
41,41, 바지락,10
42,42, 낙지,10
43,43, 문어,10
44,44, 쭈꾸미,10
45,45, 소라,10
46,46, 가리비,10
47,47, 해물,10
48,48,소정육,7
49,49, 소고기,7
50,50, 소뼈,7
51,51, 소갈비,7
52,52, 소기기,7
53,53, 비프,7
54,54, 한우,7
55,55, 우육,7
56,56, 소불고기,7
57,57, 소양,7
58,58, 소사태풍미료,7
59,59, 소곱창,7
60,60, 소깐양,7
61,61, 소목심,7
62,62, 소홍창,7
63,63, 쇠고기,7
64,64, 육우,7
65,65, ,7
66,66,윙,11
67,67, 닭고기,11
68,68, 치킨추출농축액,11
69,69, 생닭,11
70,70, 닭발,11
71,71, 치킨엑기스분말,11
72,72, 닭뼈,11
73,73, 닭근위,11
74,74, 닭다리살,11
75,75, 치킨스톡,11
76,76, 닭정육,11
77,77,  삼계닭,11
78,78, 닭육수분말,11
79,79, 닭고기조미분말,11
80,80, 오리,11
81,81, 칠면조육,11
82,82,돼지,6
83,83, 돈,6
84,84, 포크,6
85,85, 족발,6
86,86, 삼겹살,6
87,87, 베이컨,6
88,88, 소시지,6
89,89, 햄,6
90,90,땅콩,4
91,91, 로스트비터츠,4
92,92, 피넛,4
93,93, 피넛버터블랜드,4
94,94, 로스티드피너츠,4
95,95, 호두혼합견과페이스트,4
96,96,,4
97,97,잣,5
98,98, 호두,5
99,99, 아몬드,5
100,100, 헤이즐넛,5
101,101, 헤즐넛,5
102,102,헤젤넛,5
103,103, 케슈넛,5
104,104, 캐쉬넛,5
105,105, 넛맥,5
106,106, 견과,5
107,107,콩가루,13
108,108, 완두콩,13
109,109, 렌틸콩,13
110,110, 렌틸콩,13
111,111,  검은콩,13
112,112, 콩나물,13
113,113,  두부,13
114,114, 강낭콩,13
115,115, 앙금,13
116,116, 이집트콩,13
117,117, 검정콩,13
118,118, 콩단백,13
119,119, 콩고물,13
120,120, 볶은콩,13
121,121, 백태,13
122,122, 리마콩,13
123,123, 두유,13
124,124, 메주콩,13
125,125, 메주,13
126,126, 콩국,13
127,127, 된장,13
128,128, 간장,13
129,129, 춘장,13
130,130, 낫또,13
131,131, 콩기름,13
132,132, 블랙빈,13
133,133, 약콩,13
134,134, 콩비지,13
135,135, 분리대두단백,13
136,136, 곡류가공품(대두),13
137,137, 대두분,13
138,138, 유단백혼합분말(대두) ,13
139,139, 대두유,13
140,140, 마요네스,13
141,141, 유화제,13
142,142, 레시틴,13
143,143, 마가린,13
144,144, 대두단백,13
145,145, 탈지대두,13
146,146, 콩발효액,13
147,147, 서리태,13
148,148,사과,14
149,149, 애플엣센스,14
150,150, 그린애플,14
151,151,토마토,15
152,152, 피자소스,15
153,153, 우스타소스,15
154,154, 케찹,15
155,155, 케첩,15
156,156, 칠리소스,15
157,157,복숭아,8
158,158, 피치티,8
159,159,바나나,16
160,160,케일,17
161,161,샐러리,18
162,162,겨자,20
163,163, 홀그레인,20
164,164,버섯,19
